#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T08:56:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5bf27a0144f2
#INFO	-out.max=1000
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-order=I
#-out=Source
#-out=Cluster
#Cluster=Hyades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
064.2274700	+16.3568100	   3312348872541805184	Hyades  	064.22747	+16.35681	13.208	21.074	 0.033	064.22747	+16.35681
067.3019200	+15.2738100	   3312520946111619072	Hyades  	067.30192	+15.27381	11.552	21.323	 0.019	067.30192	+15.27381
067.9373200	+15.6292500	   3312613000147191808	Hyades  	067.93732	+15.62925	11.263	21.874	 0.036	067.93732	+15.62925
064.4797200	+16.5443900	   3312381071912436864	Hyades  	064.47972	+16.54439	12.964	22.345	 0.058	064.47972	+16.54439
067.6625000	+15.6917700	   3312628358950130176	Hyades  	067.66250	+15.69177	 5.410	21.357	 0.009	067.66250	+15.69177
067.9691000	+15.4993800	   3312564037520033792	Hyades  	067.96910	+15.49938	10.498	21.842	 0.008	067.96910	+15.49938
068.6475800	+15.5045100	   3312575685471393664	Hyades  	068.64758	+15.50451	 7.773	21.560	 0.027	068.64758	+15.50451
055.1916400	+17.5798300	     44388010264995200	Hyades  	055.19164	+17.57983	16.269	24.044	 0.057	055.19164	+17.57983
078.5989500	+20.5315400	   3413860050920329344	Hyades  	078.59895	+20.53154	15.131	19.433	 0.072	078.59895	+20.53154
078.5986700	+20.5312100	   3413860050922284672	Hyades  	078.59867	+20.53121	15.022	19.631	 0.125	078.59867	+20.53121
066.0645300	+12.2472400	   3307198077178624128	Hyades  	066.06453	+12.24724	14.697	19.619	 0.010	066.06453	+12.24724
068.3630200	+13.0453900	   3307489031146701696	Hyades  	068.36302	+13.04539	12.263	23.208	 0.041	068.36302	+13.04539
068.4448000	+13.2518100	   3307528033746225664	Hyades  	068.44480	+13.25181	 6.501	21.697	 0.002	068.44480	+13.25181
068.1073500	+13.1131500	   3307504222447587584	Hyades  	068.10735	+13.11315	10.509	21.392	 0.028	068.10735	+13.11315
068.7736700	+13.1736000	   3307516660672931584	Hyades  	068.77367	+13.17360	13.729	21.354	 0.011	068.77367	+13.17360
067.3181100	+12.3602900	   3307355272981718272	Hyades  	067.31811	+12.36029	13.474	21.071	 0.038	067.31811	+12.36029
067.7394000	+12.3037100	   3307342353720064384	Hyades  	067.73940	+12.30371	12.841	24.583	 0.058	067.73940	+12.30371
067.8030500	+12.4772700	   3307371215900262784	Hyades  	067.80305	+12.47727	15.410	20.422	 0.056	067.80305	+12.47727
051.7072600	+24.6586000	     69023083679564672	Hyades  	051.70726	+24.65860	18.751	23.485	 0.101	051.70726	+24.65860
060.9260000	+14.9912200	     39305036729495936	Hyades  	060.92600	+14.99122	15.039	24.100	 0.041	060.92600	+14.99122
065.9865700	+18.6388000	     47881811540636800	Hyades  	065.98657	+18.63880	15.481	16.911	 0.072	065.98657	+18.63880
064.0154400	+18.8590800	     47803952373768960	Hyades  	064.01544	+18.85908	13.000	20.978	 0.098	064.01544	+18.85908
064.4614900	+18.4750600	     47729215646206080	Hyades  	064.46149	+18.47506	12.716	21.379	 0.041	064.46149	+18.47506
064.0552200	+18.8843700	     47804394753757056	Hyades  	064.05522	+18.88437	11.196	22.023	 0.065	064.05522	+18.88437
064.3553100	+19.0297800	     47813500084423296	Hyades  	064.35531	+19.02978	10.349	20.915	 0.055	064.35531	+19.02978
066.9869100	+19.0607000	     48000730595736960	Hyades  	066.98691	+19.06070	10.797	16.913	 0.016	066.98691	+19.06070
064.6415700	+18.3645900	     47715063730746880	Hyades  	064.64157	+18.36459	14.620	21.903	 0.030	064.64157	+18.36459
066.3111200	+18.9734600	     47917816253918720	Hyades  	066.31112	+18.97346	11.949	18.956	 0.054	066.31112	+18.97346
065.1155900	+18.8970600	     47760521664503296	Hyades  	065.11559	+18.89706	14.012	19.788	 0.034	065.11559	+18.89706
066.4246900	+19.0131000	     47917511308704128	Hyades  	066.42469	+19.01310	13.705	16.179	 0.035	066.42469	+19.01310
065.0588800	+18.7019700	     47751828650825856	Hyades  	065.05888	+18.70197	17.412	20.495	 0.080	065.05888	+18.70197
066.2385000	+19.0418600	     47965443143743488	Hyades  	066.23850	+19.04186	 5.868	21.117	 0.119	066.23850	+19.04186
066.0877600	+19.1806200	     47982794811614080	Hyades  	066.08776	+19.18062	15.161	21.192	 0.060	066.08776	+19.18062
067.2094700	+13.0475400	   3307650109600736000	Hyades  	067.20947	+13.04754	 4.951	20.723	 0.079	067.20947	+13.04754
067.0938800	+13.8226800	   3307843524864280192	Hyades  	067.09388	+13.82268	14.918	20.581	 0.089	067.09388	+13.82268
066.7268900	+13.1381100	   3307645131734449408	Hyades  	066.72689	+13.13811	10.084	20.786	 0.012	066.72689	+13.13811
069.9628400	+12.7284100	   3307992336891315968	Hyades  	069.96284	+12.72841	 9.659	22.896	 0.020	069.96284	+12.72841
066.4657300	+13.5025900	   3307717596422556928	Hyades  	066.46573	+13.50259	13.939	22.704	 0.015	066.46573	+13.50259
067.6561500	+13.7243200	   3307782570688378496	Hyades  	067.65615	+13.72432	 5.326	21.482	 0.080	067.65615	+13.72432
067.0189300	+13.8678600	   3307844864893938304	Hyades  	067.01893	+13.86786	 8.831	20.752	 0.017	067.01893	+13.86786
057.4310300	+24.3177100	     66556672943906432	Hyades  	057.43103	+24.31771	12.851	24.124	 0.063	057.43103	+24.31771
073.4879300	+09.2663200	   3289809060267929856	Hyades  	073.48793	+09.26632	14.495	24.931	 0.066	073.48793	+09.26632
072.9890000	+09.2813600	   3289865341519273088	Hyades  	072.98900	+09.28136	15.242	24.210	 0.046	072.98900	+09.28136
058.8281800	+30.8947700	    168422783123428352	Hyades  	058.82818	+30.89477	15.374	22.805	 0.027	058.82818	+30.89477
075.4072600	+12.4163200	   3295209414705918080	Hyades  	075.40726	+12.41632	10.891	19.441	 0.011	075.40726	+12.41632
065.6256300	+10.4346000	   3300725905060807936	Hyades  	065.62563	+10.43460	11.838	20.895	 0.019	065.62563	+10.43460
079.2233300	+21.3936000	   3414200143611145216	Hyades  	079.22333	+21.39360	15.931	19.109	 0.033	079.22333	+21.39360
079.2239800	+21.3944600	   3414200139316713600	Hyades  	079.22398	+21.39446	13.972	19.189	 0.021	079.22398	+21.39446
057.2730700	+18.8377300	     50756415973201152	Hyades  	057.27307	+18.83773	14.269	16.640	 0.034	057.27307	+18.83773
066.9971600	+18.7589500	   3314597408180024960	Hyades  	066.99716	+18.75895	12.959	19.043	 0.041	066.99716	+18.75895
067.2547400	+18.6735500	   3314581984953794816	Hyades  	067.25474	+18.67355	12.274	23.138	 0.010	067.25474	+18.67355
076.4756900	+10.5807500	   3291734202048545792	Hyades  	076.47569	+10.58075	13.821	23.341	 0.037	076.47569	+10.58075
063.9508500	+08.9661100	   3300059394856687488	Hyades  	063.95085	+08.96611	13.624	24.732	 0.022	063.95085	+08.96611
062.4563000	+09.3054700	   3300315443626615040	Hyades  	062.45630	+09.30547	 9.629	27.735	 0.025	062.45630	+09.30547
058.7777500	+16.9983700	     43538293935879680	Hyades  	058.77775	+16.99837	 8.735	24.398	 0.030	058.77775	+16.99837
058.2925100	+17.3269600	     43615122310787840	Hyades  	058.29251	+17.32696	 5.868	23.133	 0.057	058.29251	+17.32696
057.6046000	+17.2464100	     43789772861265792	Hyades  	057.60460	+17.24641	 9.200	20.953	 0.043	057.60460	+17.24641
072.2486900	+15.6047400	   3405082374719674240	Hyades  	072.24869	+15.60474	14.182	21.229	 0.246	072.24869	+15.60474
072.2156500	+15.9474500	   3405127244241184256	Hyades  	072.21565	+15.94745	 9.469	16.347	 0.017	072.21565	+15.94745
072.3842400	+15.8886300	   3405113740864365440	Hyades  	072.38424	+15.88863	 7.583	20.618	 0.027	072.38424	+15.88863
057.8932800	+07.3730500	   3277175602945236608	Hyades  	057.89328	+07.37305	15.056	27.697	 0.055	057.89328	+07.37305
057.8944100	+07.3736400	   3277175602945236352	Hyades  	057.89441	+07.37364	13.734	27.608	 0.044	057.89441	+07.37364
070.1183100	+18.0876000	   3409550652537334656	Hyades  	070.11831	+18.08760	13.679	25.476	 0.024	070.11831	+18.08760
071.1827600	+18.4080800	   3409480318150949248	Hyades  	071.18276	+18.40808	13.646	21.334	 0.127	071.18276	+18.40808
057.0501900	+07.1462700	   3277270538903180160	Hyades  	057.05019	+07.14627	10.240	27.385	 0.034	057.05019	+07.14627
069.9378600	+18.0947000	   3409548556593300480	Hyades  	069.93786	+18.09470	16.227	22.617	 0.038	069.93786	+18.09470
073.7434600	+19.4852600	   3408463510414294784	Hyades  	073.74346	+19.48526	 6.274	15.927	 0.013	073.74346	+19.48526
074.8653600	+19.3435900	   3408317000489415296	Hyades  	074.86536	+19.34359	14.268	21.322	 0.023	074.86536	+19.34359
073.6842000	+19.6807200	   3408504261063819520	Hyades  	073.68420	+19.68072	12.843	22.014	 0.037	073.68420	+19.68072
070.0389200	+25.5921300	    148183866430358016	Hyades  	070.03892	+25.59213	10.089	22.591	 0.033	070.03892	+25.59213
070.0287200	+25.6124100	    148184656704340352	Hyades  	070.02872	+25.61241	13.145	23.406	 0.003	070.02872	+25.61241
084.2657600	+17.0401800	   3397032128539658368	Hyades  	084.26576	+17.04018	 5.468	19.102	 0.070	084.26576	+17.04018
055.8987900	+26.3584100	     70298895126196864	Hyades  	055.89879	+26.35841	13.861	26.759	 0.010	055.89879	+26.35841
061.3684500	+28.9291700	    164216120356193664	Hyades  	061.36845	+28.92917	15.359	19.040	 0.053	061.36845	+28.92917
075.1657500	+09.1260900	   3291151392166490496	Hyades  	075.16575	+09.12609	16.625	17.654	 0.038	075.16575	+09.12609
063.6140700	+12.4352600	   3304412601908736512	Hyades  	063.61407	+12.43526	 7.878	21.134	 0.006	063.61407	+12.43526
062.7773800	+12.7966600	   3304478125929665152	Hyades  	062.77738	+12.79666	16.541	23.306	 0.075	062.77738	+12.79666
062.1116400	+12.1918000	   3304337251002413952	Hyades  	062.11164	+12.19180	10.703	21.506	 0.033	062.11164	+12.19180
064.0457800	+11.5337000	   3304096595394580608	Hyades  	064.04578	+11.53370	15.855	21.916	 0.039	064.04578	+11.53370
064.3677300	+14.9009900	   3311906770084019712	Hyades  	064.36773	+14.90099	13.276	20.172	 0.037	064.36773	+14.90099
063.2739300	+15.2477000	   3311804515502788352	Hyades  	063.27393	+15.24770	14.382	22.210	 0.068	063.27393	+15.24770
064.4656000	+15.2270700	   3311934086075988864	Hyades  	064.46560	+15.22707	14.246	20.971	 0.026	064.46560	+15.22707
062.8114000	+15.0862700	   3311785239689504512	Hyades  	062.81140	+15.08627	17.149	22.247	 0.110	062.81140	+15.08627
065.1517800	+15.0953600	   3311883817778820480	Hyades  	065.15178	+15.09536	 5.180	21.126	 0.033	065.15178	+15.09536
074.8329400	+10.3859700	   3291495436226226688	Hyades  	074.83294	+10.38597	12.811	22.031	 0.018	074.83294	+10.38597
073.6578300	+09.4090500	   3291312951656888320	Hyades  	073.65783	+09.40905	14.657	21.669	 0.047	073.65783	+09.40905
077.7359300	+13.1219300	   3388751431591386240	Hyades  	077.73593	+13.12193	13.874	22.243	 0.042	077.73593	+13.12193
075.7765900	+19.6786300	   3408679804966891264	Hyades  	075.77659	+19.67863	15.891	16.778	 0.019	075.77659	+19.67863
067.5714000	+26.3737500	    151319978535712896	Hyades  	067.57140	+26.37375	14.972	18.145	 0.034	067.57140	+26.37375
067.3785900	+26.6713400	    151379150300399360	Hyades  	067.37859	+26.67134	 8.986	17.164	 0.025	067.37859	+26.67134
067.2962800	+26.2465200	    151312419393052032	Hyades  	067.29628	+26.24652	12.065	20.933	 0.010	067.29628	+26.24652
067.4014600	+26.5729500	    151374477375986176	Hyades  	067.40146	+26.57295	14.619	20.245	 0.016	067.40146	+26.57295
077.5101100	+00.5764100	   3227869206588911616	Hyades  	077.51011	+00.57641	18.381	23.217	 0.134	077.51011	+00.57641
069.9884100	+23.1376400	    146687018788948224	Hyades  	069.98841	+23.13764	10.750	23.045	 0.038	069.98841	+23.13764
069.7142100	+23.1497400	    146677879098433152	Hyades  	069.71421	+23.14974	 7.367	22.881	 0.032	069.71421	+23.14974
069.1219100	+23.3406300	    146740207663868032	Hyades  	069.12191	+23.34063	 5.903	22.082	 0.099	069.12191	+23.34063
069.2426500	+23.2771600	    146727391481452544	Hyades  	069.24265	+23.27716	17.236	20.281	 0.105	069.24265	+23.27716
069.9363800	+23.5326000	    146717014840345216	Hyades  	069.93638	+23.53260	15.702	19.235	 0.019	069.93638	+23.53260
070.0462500	+23.4204500	    146712303261194624	Hyades  	070.04625	+23.42045	17.116	20.000	 0.056	070.04625	+23.42045
070.7177600	+23.3393900	    146592838746224384	Hyades  	070.71776	+23.33939	13.761	18.377	 0.003	070.71776	+23.33939
070.0247000	+23.3043800	    146698078328904064	Hyades  	070.02470	+23.30438	 9.173	16.666	 0.013	070.02470	+23.30438
059.1385500	+31.9566100	    168774798644094592	Hyades  	059.13855	+31.95661	12.733	20.630	 0.039	059.13855	+31.95661
055.5191600	+16.4216600	     44052178182130816	Hyades  	055.51916	+16.42166	14.873	23.437	 0.061	055.51916	+16.42166
075.4005300	+13.9329200	   3391728565481255040	Hyades  	075.40053	+13.93292	10.745	23.398	 0.029	075.40053	+13.93292
075.7019000	+13.6326400	   3391658329880811776	Hyades  	075.70190	+13.63264	16.193	18.081	 0.025	075.70190	+13.63264
075.7822000	+13.7305900	   3391712038447198080	Hyades  	075.78220	+13.73059	 8.786	18.597	 0.018	075.78220	+13.73059
078.7208600	+12.8884600	   3388509470313327104	Hyades  	078.72086	+12.88846	16.038	20.132	 0.049	078.72086	+12.88846
067.4473400	+25.4883200	    150982364040857472	Hyades  	067.44734	+25.48832	18.287	20.477	 0.130	067.44734	+25.48832
074.5930000	+19.3170300	   3408234502757515648	Hyades  	074.59300	+19.31703	15.949	16.876	 0.031	074.59300	+19.31703
073.7038600	+07.7388800	   3289363105224130944	Hyades  	073.70386	+07.73888	13.451	25.461	 0.018	073.70386	+07.73888
059.7930200	+09.2839400	   3301997524618877568	Hyades  	059.79302	+09.28394	15.960	23.772	 0.056	059.79302	+09.28394
062.1678600	+23.5571300	     53725750202606208	Hyades  	062.16786	+23.55713	12.559	21.665	 0.065	062.16786	+23.55713
067.8158800	+20.1330000	    144171233106399104	Hyades  	067.81588	+20.13300	 8.394	21.652	 0.025	067.81588	+20.13300
058.8423700	+09.7883500	   3302846072717868416	Hyades  	058.84237	+09.78835	14.564	28.593	 0.020	058.84237	+09.78835
070.7126300	+19.4870100	   3410154456217987584	Hyades  	070.71263	+19.48701	13.734	20.578	 0.026	070.71263	+19.48701
071.5117200	+19.4681700	   3410118477275889024	Hyades  	071.51172	+19.46817	16.833	20.294	 0.060	071.51172	+19.46817
071.0283000	+19.0353500	   3410076150374417408	Hyades  	071.02830	+19.03535	15.575	20.313	 0.028	071.02830	+19.03535
053.1443400	+16.1532600	     42716408993806080	Hyades  	053.14434	+16.15326	12.981	20.568	 0.058	053.14434	+16.15326
058.7565800	+12.4855400	     38354680725946240	Hyades  	058.75658	+12.48554	 9.766	21.715	 0.015	058.75658	+12.48554
059.5604200	+12.6279700	     38329666836450304	Hyades  	059.56042	+12.62797	15.111	21.914	 0.046	059.56042	+12.62797
058.7223500	+16.3155200	     40470720915966208	Hyades  	058.72235	+16.31552	12.957	22.551	 0.112	058.72235	+16.31552
065.8025200	+15.7127900	   3312025001943976064	Hyades  	065.80252	+15.71279	14.345	21.657	 0.062	065.80252	+15.71279
064.9488700	+15.6275400	   3312052249216467328	Hyades  	064.94887	+15.62754	 3.290	22.003	 0.120	064.94887	+15.62754
064.5546100	+16.0980300	   3312281634829711488	Hyades  	064.55461	+16.09803	14.774	20.648	 0.044	064.55461	+16.09803
064.5808300	+16.0882300	   3312281669189449472	Hyades  	064.58083	+16.08823	 9.287	22.159	 0.030	064.58083	+16.08823
063.8909100	+15.7061700	   3312197934506930944	Hyades  	063.89091	+15.70617	10.432	21.996	 0.030	063.89091	+15.70617
065.8558900	+15.7630100	   3312025586058376704	Hyades  	065.85589	+15.76301	10.019	24.147	 0.039	065.85589	+15.76301
063.9433700	+15.4006000	   3312136499294830848	Hyades  	063.94337	+15.40060	 6.203	21.339	 0.011	063.94337	+15.40060
058.4443800	+13.3919300	     38670343642226816	Hyades  	058.44438	+13.39193	14.832	24.163	 0.025	058.44438	+13.39193
060.1878600	+13.9062600	     38929141191925760	Hyades  	060.18786	+13.90626	13.330	21.594	 0.065	060.18786	+13.90626
061.7643200	+20.2806000	     51902691204229888	Hyades  	061.76432	+20.28060	14.685	30.023	 0.066	061.76432	+20.28060
063.0146500	+20.8311500	     51995909173956352	Hyades  	063.01465	+20.83115	14.963	24.540	 0.069	063.01465	+20.83115
068.4815800	+18.3806200	   3314294771901304192	Hyades  	068.48158	+18.38062	14.998	21.513	 0.041	068.48158	+18.38062
066.5908900	+18.0001600	   3314393590508675456	Hyades  	066.59089	+18.00016	14.328	19.574	 0.021	066.59089	+18.00016
075.1625900	+24.3826200	   3419526585958441216	Hyades  	075.16259	+24.38262	16.565	17.645	 0.033	075.16259	+24.38262
076.7886700	+15.6136200	   3393094021484216192	Hyades  	076.78867	+15.61362	12.773	22.311	 0.026	076.78867	+15.61362
071.3051700	+14.7239800	   3308808002721345280	Hyades  	071.30517	+14.72398	18.641	19.406	 0.097	071.30517	+14.72398
071.0354200	+14.7147900	   3308851433430549632	Hyades  	071.03542	+14.71479	15.490	21.748	 0.062	071.03542	+14.71479
071.6270000	+15.4719400	   3309006602007842048	Hyades  	071.62700	+15.47194	 8.126	20.360	 0.002	071.62700	+15.47194
071.3881600	+15.0506300	   3308957845537774976	Hyades  	071.38816	+15.05063	18.130	20.435	 0.200	071.38816	+15.05063
071.8976200	+14.8889800	   3308896238528440448	Hyades  	071.89762	+14.88898	10.928	20.897	 0.012	071.89762	+14.88898

